file;Rcapt;Rcom;lower_bound
data/grille1010_1.dat;1;1;18.335467330579775
data/grille1010_1.dat;1;2;17.804483534707426
data/grille1010_1.dat;2;2;7.429682179122139
data/grille1010_1.dat;2;3;7.167540792540794
data/grille1010_2.dat;1;1;19.91666411489484
data/grille1010_2.dat;1;2;19.19772727272727
data/grille1010_2.dat;2;2;8.001787274116227
data/grille1010_2.dat;2;3;7.701322751322754
data/grille1515_1.dat;1;1;40.819060745797465
data/grille1515_1.dat;1;2;40.245833333333344
data/grille1515_1.dat;2;2;16.130627042206427
data/grille1515_1.dat;2;3;15.804042200060573
data/grille1515_2.dat;1;1;42.7491127162936
data/grille1515_2.dat;1;2;41.67222222222221
data/grille1515_2.dat;2;2;17.239628971720233
data/grille1515_2.dat;2;3;16.91226851851852
data/grille2020_1.dat;1;1;67.60340488086794
data/grille2020_1.dat;1;2;67.03125000000004
data/grille2020_1.dat;2;2;26.87915948760785
data/grille2020_1.dat;2;3;26.54531796381998
data/grille2525_1.dat;1;1;89.71037616188919
data/grille2525_1.dat;1;2;89.1310606060606
data/grille2525_1.dat;2;2;35.950313094682656
data/grille2525_1.dat;2;3;35.64519600118189
data/grille2525_2.dat;1;1;115.64836984936234
data/grille2525_2.dat;1;2;114.11944444444444
data/grille2525_2.dat;2;2;47.2560116156217
data/grille2525_2.dat;2;3;46.91289682539682
data/grille3030_1.dat;1;1;134.53747934208423
data/grille3030_1.dat;1;2;133.95833333333334
data/grille3030_1.dat;2;2;52.057361955634136
data/grille3030_1.dat;2;3;51.7505827505828
data/grille3030_2.dat;1;1;165.43493078423657
data/grille3030_2.dat;1;2;163.50555555555567
data/grille3030_2.dat;2;2;67.50837419641879
data/grille3030_2.dat;2;3;67.16226851851856
data/grille33_toy.dat;1;1;2.0
data/grille33_toy.dat;1;2;2.0
data/grille33_toy.dat;2;2;1.3333333333333333
data/grille33_toy.dat;2;3;1.3333333333333333
data/grille4040_1.dat;1;1;245.20830463981602
data/grille4040_1.dat;1;2;244.62500000000043
data/grille4040_1.dat;2;2;95.1287600453178
data/grille4040_1.dat;2;3;94.8200466200466
data/grille4040_2.dat;1;1;291.8501007710988
data/grille4040_2.dat;1;2;289.58661616161663
data/grille4040_2.dat;2;2;119.90069596747526
data/grille4040_2.dat;2;3;119.55132275132277
data/grille44_toy.dat;1;1;3.1428571428571432
data/grille44_toy.dat;1;2;2.6666666666666665
data/grille44_toy.dat;2;2;1.8666666666666667
data/grille44_toy.dat;2;3;1.7575757575757578
